"dr_no","date_rptd","date_occ","time_occ","area","area_name","rpt_dist_no","part_1_2","crm_cd","crm_cd_desc","vict_age","vict_sex","vict_descent","premis_cd","premis_desc","status","status_desc","crm_cd_1","location","lat","lon"
200513040,2020-08-16,2020-08-16,1830,5,"Harbor",521,1,220,"ATTEMPTED ROBBERY",42,"F","W",124,"BUS STOP","AO","Adult Other",220,"GAFFEY",33.7645,-118.2935
201915946,2020-10-21,2020-10-20,2315,19,"Mission",1962,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",45,"F","H",247,"CAR WASH","IC","Invest Cont",230,"9800 N  SEPULVEDA                    BL",34.2482,-118.4674
230911060,2023-06-26,2023-06-26,1156,9,"Van Nuys",974,1,343,"SHOPLIFTING-GRAND THEFT ($950.01 & OVER)",23,"F","W",402,"MARKET","IC","Invest Cont",343,"14800    VENTURA                      BL",34.1547,-118.453
201709771,2020-06-06,2020-06-06,1000,17,"Devonshire",1705,1,330,"BURGLARY FROM VEHICLE",74,"F","O",101,"STREET","IC","Invest Cont",330,"17300    SESNON                       BL",34.3074,-118.5108
222115683,2022-10-21,2022-10-20,1100,21,"Topanga",2156,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",28,"M","X",108,"PARKING LOT","IC","Invest Cont",420,"21900    VANOWEN                      ST",34.1938,-118.6044
200815084,2020-10-10,2020-10-10,1030,8,"West LA",822,1,330,"BURGLARY FROM VEHICLE",34,"F","W",108,"PARKING LOT","IC","Invest Cont",330,"SUNSET                       BL",34.043,-118.5398
240505107,2024-01-29,2024-01-29,2158,5,"Harbor",541,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT",46,"F","H",108,"PARKING LOT","IC","Invest Cont",626,"900 N  WESTERN                      AV",33.7501,-118.3092
210510022,2021-06-07,2021-05-26,1200,5,"Harbor",504,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",42,"F","H",710,"OTHER PREMISE","IC","Invest Cont",440,"1500    TORRANCE                     BL",33.8403,-118.306
200113466,2020-06-16,2020-06-16,138,1,"Central",162,1,310,"BURGLARY",28,"X","X",210,"RESTAURANT/FAST FOOD","IC","Invest Cont",310,"800 S  FLOWER                       ST",34.0473,-118.2601
221711461,2022-07-21,2022-07-21,1430,17,"Devonshire",1779,2,624,"BATTERY - SIMPLE ASSAULT",28,"F","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",624,"16000    TUPPER                       ST",34.2392,-118.4807
201209358,2020-03-17,2020-03-17,1350,12,"77th Street",1208,1,210,"ROBBERY",27,"F","H",102,"SIDEWALK","AA","Adult Arrest",210,"700 W  52ND                         ST",33.9997,-118.2849
230409734,2023-06-25,2023-06-25,300,4,"Hollenbeck",491,1,220,"ATTEMPTED ROBBERY",44,"M","H",101,"STREET","IC","Invest Cont",220,"OLYMPIC",34.0246,-118.2207
211412710,2021-06-01,2021-06-01,1325,14,"Pacific",1412,2,437,"RESISTING ARREST",28,"X","X",101,"STREET","IC","Invest Cont",437,"CLUBHOUSE",33.9892,-118.4751
231115359,2023-11-04,2023-08-01,1800,11,"Northeast",1171,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",27,"M","O",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",341,"1700    LUCILE                       AV",34.0932,-118.277
210916346,2021-11-10,2021-11-10,240,9,"Van Nuys",981,1,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",35,"M","B",101,"STREET","IC","Invest Cont",250,"SEPULVEDA                    BL",34.1538,-118.4662
232013543,2023-08-01,2023-08-01,115,20,"Olympic",2093,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT",29,"F","H",122,"VEHICLE, PASSENGER/TRUCK","IC","Invest Cont",626,"1900 W  20TH                         ST",34.0382,-118.3003
221200516,2022-01-13,2022-01-13,2000,12,"77th Street",1203,2,946,"OTHER MISCELLANEOUS CRIME",28,"X","X",101,"STREET","AA","Adult Arrest",946,"1600 W  47TH                         ST",34.001,-118.3068
210612698,2021-07-14,2021-07-14,1020,6,"Hollywood",645,2,888,"TRESPASSING",28,"X","X",203,"OTHER BUSINESS","IC","Invest Cont",888,"6800    HOLLYWOOD                    BL",34.1016,-118.3391
210918241,2021-12-31,2021-12-31,1200,9,"Van Nuys",964,1,330,"BURGLARY FROM VEHICLE",61,"F","H",108,"PARKING LOT","IC","Invest Cont",330,"14000    RIVERSIDE                    DR",34.1576,-118.4387
221312663,2022-06-09,2022-06-09,1415,13,"Newton",1393,2,624,"BATTERY - SIMPLE ASSAULT",14,"M","H",102,"SIDEWALK","IC","Invest Cont",624,"100 W  69TH                         ST",33.9774,-118.2739
241513019,2024-08-21,2024-08-17,1450,15,"N Hollywood",1549,2,888,"TRESPASSING",28,"X","X",913,"MTA - RED LINE - NORTH HOLLYWOOD","AA","Adult Arrest",888,"5300    LANKERSHIM                   BL",34.172,-118.3789
230613797,2023-08-13,2023-08-11,1,6,"Hollywood",644,2,946,"OTHER MISCELLANEOUS CRIME",38,"F","W",119,"PORCH, RESIDENTIAL","IC","Invest Cont",946,"1400 N  FORMOSA                      AV",34.0962,-118.3462
231509155,2023-05-02,2023-05-02,1630,15,"N Hollywood",1504,1,510,"VEHICLE - STOLEN",28,"M","X",101,"STREET","IC","Invest Cont",510,"RADFORD                      AV",34.2057,-118.3921
231014885,2023-10-18,2023-10-14,1200,10,"West Valley",1049,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",28,"F","X",101,"STREET","IC","Invest Cont",420,"VICTORY                      BL",34.1866,-118.4793
201610349,2020-06-23,2020-06-23,2255,16,"Foothill",1638,1,310,"BURGLARY",28,"M","O",725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)","IC","Invest Cont",310,"7700    FOOTHILL                     BL",34.2595,-118.293
220205202,2022-01-29,2022-01-29,1500,2,"Rampart",246,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",51,"M","H",101,"STREET","IC","Invest Cont",230,"ALVARADO",34.0579,-118.2759
200308858,2020-03-21,2020-03-19,2000,3,"Southwest",333,1,510,"VEHICLE - STOLEN",28,"M","X",101,"STREET","IC","Invest Cont",510,"2800    SOMERSET                     DR",34.0312,-118.3374
202015045,2020-09-23,2020-09-23,1435,20,"Olympic",2064,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",28,"X","X",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other",740,"1100 S  ARDMORE                      AV",34.0491,-118.3021
211519134,2021-12-28,2021-12-27,1530,15,"N Hollywood",1567,1,510,"VEHICLE - STOLEN",28,"F","X",108,"PARKING LOT","IC","Invest Cont",510,"10700    MOORPARK                     ST",34.1504,-118.364
241713601,2024-10-12,2024-10-04,2200,17,"Devonshire",1755,1,331,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",30,"M","O",101,"STREET","IC","Invest Cont",331,"LEMARSH                      ST",34.2532,-118.5278
241413809,2024-10-04,2024-10-02,1130,14,"Pacific",1407,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",28,"F","X",101,"STREET","IC","Invest Cont",420,"10100    PALMS                        BL",34.0284,-118.4048
201706316,2020-02-22,2020-02-21,1200,17,"Devonshire",1794,1,310,"BURGLARY",28,"X","X",203,"OTHER BUSINESS","AA","Adult Arrest",310,"8600    RESEDA                       BL",34.2265,-118.5361
221207462,2022-03-05,2022-03-05,2245,12,"77th Street",1252,1,210,"ROBBERY",28,"X","X",239,"MEDICAL MARIJUANA FACILITIES/BUSINESSES","AA","Adult Arrest",210,"7100    8TH                          AV",33.9757,-118.3265
200216186,2020-10-12,2020-10-09,745,2,"Rampart",218,1,330,"BURGLARY FROM VEHICLE",28,"F","H",101,"STREET","IC","Invest Cont",330,"1000 N  WEST KENSINGTON              RD",34.0735,-118.2572
220514622,2022-10-08,2022-10-08,530,5,"Harbor",551,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",55,"F","W",101,"STREET","AA","Adult Arrest",230,"SANTA CRUZ                   ST",33.7449,-118.3096
201105267,2020-01-30,2020-01-29,2230,11,"Northeast",1129,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT",40,"F","A",501,"SINGLE FAMILY DWELLING","AA","Adult Arrest",626,"700 N  AVENUE 66",34.1188,-118.1755
221309631,2022-04-12,2022-04-12,1125,13,"Newton",1343,2,354,"THEFT OF IDENTITY",25,"M","H",750,"CYBERSPACE","IC","Invest Cont",354,"700 E  40TH                         PL",34.0102,-118.2633
232104280,2023-01-09,2023-01-08,1300,21,"Topanga",2136,1,331,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",25,"M","H",101,"STREET","IC","Invest Cont",331,"7400    VASSAR                       AV",34.2047,-118.6044
240411283,2024-11-01,2024-11-01,100,4,"Hollenbeck",477,1,310,"BURGLARY",49,"F","H",720,"JUNIOR HIGH SCHOOL","IC","Invest Cont",310,"2500 E  6TH                          ST",34.037,-118.2127
241208835,2024-03-23,2024-03-22,1500,12,"77th Street",1257,1,520,"VEHICLE - ATTEMPT STOLEN",38,"M","H",101,"STREET","IC","Invest Cont",520,"500 W  79TH                         ST",33.9693,-118.285
201915823,2020-10-16,2020-10-16,2255,19,"Mission",1999,2,354,"THEFT OF IDENTITY",47,"M","F",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont",354,"7800    WOODMAN                      AV",34.212,-118.4309
240216731,2024-11-05,2024-11-04,2000,2,"Rampart",236,1,510,"VEHICLE - STOLEN",28,"F","X",101,"STREET","IC","Invest Cont",510,"200 S  WESTLAKE                     AV",34.0649,-118.2696
230121938,2023-10-15,2023-10-14,1945,1,"Central",152,1,330,"BURGLARY FROM VEHICLE",37,"M","W",707,"GARAGE/CARPORT","IC","Invest Cont",330,"500 S  FLOWER                       ST",34.0516,-118.2561
222013346,2022-06-09,2022-06-09,1035,20,"Olympic",2058,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",30,"F","H",108,"PARKING LOT","IC","Invest Cont",740,"900 S  WESTMORELAND                 AV",34.0537,-118.2891
221615545,2022-12-28,2020-10-02,1200,16,"Foothill",1677,2,354,"THEFT OF IDENTITY",32,"M","O",710,"OTHER PREMISE","IC","Invest Cont",354,"9800    EDMORE                       PL",34.2172,-118.3447
202009406,2020-05-06,2020-05-06,605,20,"Olympic",2033,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",64,"M","B",123,"PARKING UNDERGROUND/BUILDING","IC","Invest Cont",420,"600 S  WESTERN                      AV",34.0602,-118.3091
221319121,2022-10-10,2022-10-08,1930,13,"Newton",1307,1,510,"VEHICLE - STOLEN",28,"F","X",101,"STREET","IC","Invest Cont",510,"7TH                          ST",34.0387,-118.2439
201517509,2020-11-13,2020-11-03,1919,15,"N Hollywood",1527,1,442,"SHOPLIFTING - PETTY THEFT ($950 & UNDER)",28,"M","W",404,"DEPARTMENT STORE","IC","Invest Cont",442,"11000    VICTORY                      BL",34.1867,-118.3706
210906987,2021-03-16,2021-03-15,2323,9,"Van Nuys",985,1,510,"VEHICLE - STOLEN",28,"F","X",123,"PARKING UNDERGROUND/BUILDING","AA","Adult Arrest",510,"14400    BENEFIT                      ST",34.1486,-118.4463
221418021,2022-10-22,2022-10-22,2240,14,"Pacific",1458,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",34,"M","H",108,"PARKING LOT","IC","Invest Cont",230,"4400 S  SLAUSON                      AV",33.9986,-118.4148
212006920,2021-01-20,2021-01-19,2100,20,"Olympic",2015,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",29,"M","B",122,"VEHICLE, PASSENGER/TRUCK","IC","Invest Cont",740,"3900    BEVERLY                      BL",34.0763,-118.2931
201311537,2020-05-28,2020-05-28,520,13,"Newton",1367,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",28,"M","H",121,"YARD (RESIDENTIAL/BUSINESS)","IC","Invest Cont",420,"4800    STAUNTON                     AV",34.0002,-118.2421
201508459,2020-04-06,2020-04-03,1700,15,"N Hollywood",1562,1,510,"VEHICLE - STOLEN",28,"F","X",108,"PARKING LOT","AA","Adult Arrest",510,"12700    MOORPARK                     ST",34.1533,-118.4058
241409697,2024-05-22,2024-05-22,5,14,"Pacific",1415,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT",28,"F","W",501,"SINGLE FAMILY DWELLING","AO","Adult Other",626,"1000    PALMS                        BL",34.0035,-118.4598
200318918,2020-10-15,2020-10-13,2030,3,"Southwest",395,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",49,"F","B",102,"SIDEWALK","IC","Invest Cont",230,"WESTERN                      AV",34.0085,-118.3089
211210417,2021-04-16,2021-04-16,1220,12,"77th Street",1245,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",42,"M","B",101,"STREET","IC","Invest Cont",230,"1300 W  71ST                         ST",33.9754,-118.3003
211112565,2021-09-03,2021-08-26,1400,11,"Northeast",1171,1,330,"BURGLARY FROM VEHICLE",33,"M","W",101,"STREET","IC","Invest Cont",330,"1700    REDESDALE                    AV",34.0903,-118.2703
210507744,2021-04-08,2021-04-08,30,5,"Harbor",513,2,624,"BATTERY - SIMPLE ASSAULT",49,"F","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",624,"800    FIGUEROA                     PL",33.779,-118.2809
222004263,2022-01-08,2022-01-05,1830,20,"Olympic",2002,1,510,"VEHICLE - STOLEN",28,"F","X",707,"GARAGE/CARPORT","IC","Invest Cont",510,"5000    CLINTON                      ST",34.0817,-118.3112
200104937,2020-01-13,2020-01-12,1641,1,"Central",124,2,624,"BATTERY - SIMPLE ASSAULT",41,"F","B",101,"STREET","IC","Invest Cont",624,"200 N  LOS ANGELES                  ST",34.0525,-118.2432
231704656,2023-01-19,2023-01-19,1200,17,"Devonshire",1795,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",28,"M","H",207,"BAR/COCKTAIL/NIGHTCLUB","IC","Invest Cont",230,"8500    BALBOA                       BL",34.2248,-118.5151
221304468,2022-01-11,2022-01-11,1130,13,"Newton",1395,2,753,"DISCHARGE FIREARMS/SHOTS FIRED",28,"M","X",101,"STREET","AA","Adult Arrest",753,"500 E  FLORENCE                     AV",33.9784,-118.263
250604023,2024-12-16,2024-12-09,1100,6,"Hollywood",645,1,352,"PICKPOCKET",50,"F","O",809,"METROLINK TRAIN","IC","Invest Cont",352,"HOLLYWOOD                    BL",34.1016,-118.3387
211308434,2021-04-11,2021-04-11,1150,13,"Newton",1367,2,860,"BATTERY WITH SEXUAL CONTACT",15,"F","H",203,"OTHER BUSINESS","AO","Adult Other",860,"4500 S  ALAMEDA                      ST",34.0001,-118.2389
220512733,2022-08-20,2022-08-20,1850,5,"Harbor",511,1,236,"INTIMATE PARTNER - AGGRAVATED ASSAULT",19,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other",236,"25700    FRAMPTON                     AV",33.7926,-118.3043
211818617,2021-10-16,2021-10-16,1630,18,"Southeast",1801,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",51,"M","H",101,"STREET","AA","Adult Arrest",230,"8900    ORCHARD                      AV",33.9566,-118.2882
211406525,2021-02-15,2020-02-19,1115,14,"Pacific",1403,1,330,"BURGLARY FROM VEHICLE",48,"F","B",108,"PARKING LOT","IC","Invest Cont",330,"10800    NATIONAL                     BL",34.0301,-118.4272
202006399,2020-02-17,2020-02-10,1500,20,"Olympic",2017,1,330,"BURGLARY FROM VEHICLE",70,"M","B",101,"STREET","IC","Invest Cont",330,"3RD                          ST",34.0691,-118.2917
202012519,2020-07-24,2020-07-24,915,20,"Olympic",2038,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",28,"X","X",252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)","IC","Invest Cont",440,"3100    WILSHIRE                     BL",34.0618,-118.2894
201307816,2020-03-09,2020-03-08,639,13,"Newton",1331,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",31,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AA","Adult Arrest",230,"200 W  27TH                         ST",34.0248,-118.2715
241509666,2024-04-27,2024-04-17,1355,15,"N Hollywood",1549,1,343,"SHOPLIFTING-GRAND THEFT ($950.01 & OVER)",41,"M","W",406,"OTHER STORE","IC","Invest Cont",343,"5400    LANKERSHIM                   BL",34.1689,-118.3771
241213400,2024-07-12,2024-07-11,1000,12,"77th Street",1239,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",28,"M","X",101,"STREET","IC","Invest Cont",420,"59TH                         ST",33.9874,-118.2892
221321334,2022-11-23,2022-11-16,1850,13,"Newton",1354,1,310,"BURGLARY",28,"M","W",203,"OTHER BUSINESS","IC","Invest Cont",310,"4300 S  MAIN                         ST",34.0056,-118.274
230112885,2023-05-23,2022-09-18,2300,1,"Central",152,1,121,"RAPE, FORCIBLE",20,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other",121,"700 W  7TH                          ST",34.0491,-118.2558
220911148,2022-07-06,2022-06-03,1203,9,"Van Nuys",985,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",31,"F","H",203,"OTHER BUSINESS","IC","Invest Cont",440,"14000    VENTURA                      BL",34.149,-118.4372
231506970,2023-03-12,2023-03-12,1630,15,"N Hollywood",1506,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",35,"F","H",102,"SIDEWALK","AO","Adult Other",230,"11300    COVELLO                      ST",34.2075,-118.3769
221320000,2022-10-27,2022-10-27,300,13,"Newton",1383,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",65,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont",745,"6100 S  MAIN                         ST",33.9842,-118.2739
211116795,2021-12-25,2021-12-23,2000,11,"Northeast",1175,1,210,"ROBBERY",28,"M","O",109,"PARK/PLAYGROUND","IC","Invest Cont",210,"STADIUM                      WY",34.0861,-118.2431
201805714,2020-02-01,2020-02-01,1040,18,"Southeast",1841,2,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED",29,"M","H",108,"PARKING LOT","IC","Invest Cont",930,"11300 S  VERMONT                      AV",33.932,-118.2916
230115248,2023-07-03,2023-07-01,2100,1,"Central",192,1,330,"BURGLARY FROM VEHICLE",24,"F","W",116,"OTHER/OUTSIDE","IC","Invest Cont",330,"18TH                         ST",34.0353,-118.2699
210708773,2021-05-05,2021-05-05,910,7,"Wilshire",765,2,845,"SEX OFFENDER REGISTRANT OUT OF COMPLIANCE",28,"M","O",726,"POLICE FACILITY","AA","Adult Arrest",845,"4800    VENICE                       BL",34.0467,-118.3407
241207746,2024-03-04,2024-03-04,1500,12,"77th Street",1241,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",19,"F","H",102,"SIDEWALK","IC","Invest Cont",230,"6300    10TH                         AV",33.9829,-118.3279
220222387,2022-12-30,2022-12-30,330,2,"Rampart",205,1,761,"BRANDISH WEAPON",57,"M","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other",761,"900 N  VENDOME                      ST",34.0823,-118.2755
230908206,2023-04-15,2023-04-14,1600,9,"Van Nuys",938,2,900,"VIOLATION OF COURT ORDER",32,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other",900,"13400    VICTORY                      BL",34.1867,-118.4247
210917563,2021-12-13,2021-12-12,2020,9,"Van Nuys",933,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",26,"F","H",104,"DRIVEWAY","IC","Invest Cont",420,"14800    CALVERT                      ST",34.1817,-118.4553
231917317,2023-12-01,2023-12-01,2115,19,"Mission",1983,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT",48,"F","H",501,"SINGLE FAMILY DWELLING","AO","Adult Other",626,"15100    PARTHENIA                    ST",34.2282,-118.4611
210206447,2021-03-02,2021-03-02,2050,2,"Rampart",205,2,624,"BATTERY - SIMPLE ASSAULT",41,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other",624,"600    PARKMAN                      AV",34.0774,-118.2768
220714860,2022-10-03,2022-10-03,715,7,"Wilshire",727,2,888,"TRESPASSING",48,"M","W",121,"YARD (RESIDENTIAL/BUSINESS)","IC","Invest Cont",888,"100 N  ORANGE                       DR",34.0736,-118.3419
211610383,2021-08-09,2021-08-09,1500,16,"Foothill",1685,1,510,"VEHICLE - STOLEN",28,"M","X",101,"STREET","IC","Invest Cont",510,"8000    LANKERSHIM                   BL",34.2173,-118.3835
230125972,2023-12-09,2023-12-09,1130,1,"Central",153,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",42,"M","W",102,"SIDEWALK","IC","Invest Cont",230,"500 S  BROADWAY",34.0481,-118.2507
231213067,2023-05-30,2023-05-30,950,12,"77th Street",1215,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT",65,"M","B",101,"STREET","IC","Invest Cont",626,"SLAUSON                      AV",33.9921,-118.298
240308128,2024-03-22,2024-03-22,100,3,"Southwest",354,1,761,"BRANDISH WEAPON",66,"M","B",501,"SINGLE FAMILY DWELLING","AO","Adult Other",761,"3400    6TH                          AV",34.0256,-118.3236
221809712,2022-04-25,2022-04-24,1500,18,"Southeast",1802,1,330,"BURGLARY FROM VEHICLE",27,"F","H",101,"STREET","IC","Invest Cont",330,"200 W  87TH                         ST",33.9586,-118.2761
210810175,2021-06-07,2021-06-06,235,8,"West LA",828,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",26,"F","F",101,"STREET","IC","Invest Cont",420,"HILGARD",34.0641,-118.4411
240604330,2023-12-08,2023-12-07,523,6,"Hollywood",622,1,331,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",54,"M","W",103,"ALLEY","IC","Invest Cont",331,"2400    CARMEN CREST                 DR",34.1143,-118.3458
222007520,2022-03-23,2022-03-21,900,20,"Olympic",2029,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",50,"M","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont",440,"400 S  COMMONWEALTH                 AV",34.0667,-118.2857
220322101,2022-12-10,2022-12-09,2255,3,"Southwest",359,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",28,"M","H",116,"OTHER/OUTSIDE","IC","Invest Cont",440,"JEFFERSON",34.022,-118.28
231212791,2023-05-26,2023-05-26,300,12,"77th Street",1251,1,510,"VEHICLE - STOLEN",28,"M","X",101,"STREET","IC","Invest Cont",510,"3300 W  76TH                         ST",33.9709,-118.3298
230200569,2023-02-26,2023-02-26,1605,2,"Rampart",235,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",28,"X","X",210,"RESTAURANT/FAST FOOD","IC","Invest Cont",740,"2100    BEVERLY                      BL",34.0668,-118.2705
201414588,2020-07-30,2020-03-14,1930,14,"Pacific",1488,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",28,"X","X",203,"OTHER BUSINESS","AO","Adult Other",668,"9000    AIRPORT                      BL",33.9546,-118.3858
231013663,2023-08-03,2023-08-03,1715,10,"West Valley",1079,2,354,"THEFT OF IDENTITY",52,"F","W",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",354,"4800    DENSMORE                     AV",34.1574,-118.4771
240613861,2024-12-09,2024-12-09,1310,6,"Hollywood",643,1,510,"VEHICLE - STOLEN",28,"M","X",101,"STREET","IC","Invest Cont",510,"HAWTHORN                     AV",34.0998,-118.3479
230619370,2023-12-26,2023-12-26,720,6,"Hollywood",645,2,762,"LEWD CONDUCT",45,"M","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",762,"FOUNTAIN",34.0944,-118.3441
202007327,2020-03-10,2020-03-10,1745,20,"Olympic",2027,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",28,"X","X",210,"RESTAURANT/FAST FOOD","IC","Invest Cont",740,"600 S  VERMONT                      AV",34.0636,-118.296
200504279,2020-01-06,2020-01-06,349,5,"Harbor",585,1,331,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",45,"M","W",103,"ALLEY","IC","Invest Cont",331,"1900 S  MEYLER                       ST",33.727,-118.2968
201615767,2020-12-17,2020-12-17,1505,16,"Foothill",1685,2,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED",61,"F","B",101,"STREET","AA","Adult Arrest",930,"LANKERSHIM",34.2225,-118.3878
230414976,2023-12-03,2023-12-01,1351,4,"Hollenbeck",421,1,343,"SHOPLIFTING-GRAND THEFT ($950.01 & OVER)",28,"X","X",203,"OTHER BUSINESS","IC","Invest Cont",343,"2100 N  BROADWAY",34.0732,-118.2189
231716190,2023-10-07,2023-10-07,1330,17,"Devonshire",1798,2,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED",47,"F","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",930,"8900    COLLETT                      AV",34.232,-118.484
211906179,2021-03-01,2021-02-28,1100,19,"Mission",1974,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",35,"F","H",101,"STREET","IC","Invest Cont",740,"9000    TOBIAS                       AV",34.2336,-118.4517
230606282,2023-02-24,2023-02-22,1900,6,"Hollywood",635,2,946,"OTHER MISCELLANEOUS CRIME",37,"M","O",101,"STREET","IC","Invest Cont",946,"1900    GRACE                        AV",34.1052,-118.3322
240707058,2024-03-12,2024-03-08,2255,7,"Wilshire",785,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",25,"F","B",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",440,"2300 S  RIMPAU                       BL",34.0357,-118.3455
202109347,2020-05-14,2020-05-14,1237,21,"Topanga",2189,2,888,"TRESPASSING",35,"M","X",404,"DEPARTMENT STORE","AA","Adult Arrest",888,"20800 W  VENTURA                      BL",34.1665,-118.5859
221006860,2022-03-17,2022-03-17,1233,10,"West Valley",1003,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",32,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont",440,"7900    RESEDA                       BL",34.2148,-118.5404
231009878,2023-06-02,2023-05-26,900,10,"West Valley",1039,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",56,"F","W",116,"OTHER/OUTSIDE","IC","Invest Cont",341,"WOODLEY                      AV",34.1866,-118.4836
240110996,2024-05-02,2024-05-02,1000,1,"Central",119,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",28,"X","X",252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)","AO","Adult Other",740,"800 N  ALAMEDA                      ST",34.0561,-118.2375
220319017,2022-10-24,2022-10-24,1230,3,"Southwest",379,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",24,"F","B",501,"SINGLE FAMILY DWELLING","AO","Adult Other",230,"1000    LEIGHTON                     AV",34.0132,-118.2915
