"dr_no","date_rptd","date_occ","time_occ","area","area_name","rpt_dist_no","part_1_2","crm_cd","crm_cd_desc","vict_age","vict_sex","vict_descent","premis_cd","premis_desc","status","status_desc","crm_cd_1","location","lat","lon"
240710360,2024-07-28,2024-07-27,2000,7,"Wilshire",717,1,510,"VEHICLE - STOLEN",28,"M","X",101,"STREET","IC","Invest Cont",510,"300 N  MANSFIELD                    AV",34.0762,-118.3408
210818023,2021-12-27,2021-12-27,1420,8,"West LA",839,1,350,"THEFT, PERSON",48,"M","W",101,"STREET","IC","Invest Cont",350,"SANTA MONICA                 BL",34.0591,-118.4214
231811743,2023-06-10,2023-06-09,1900,18,"Southeast",1841,1,330,"BURGLARY FROM VEHICLE",21,"M","B",122,"VEHICLE, PASSENGER/TRUCK","IC","Invest Cont",330,"10400 S  FIGUEROA                     ST",33.9367,-118.2871
230306405,2023-02-16,2023-02-11,900,3,"Southwest",398,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",28,"M","X",101,"STREET","IC","Invest Cont",420,"500 W  43RD                         PL",34.0046,-118.2827
222107587,2022-04-03,2022-04-03,145,21,"Topanga",2187,2,624,"BATTERY - SIMPLE ASSAULT",26,"M","W",207,"BAR/COCKTAIL/NIGHTCLUB","IC","Invest Cont",624,"21000    VENTURA                      BL",34.1667,-118.5908
232106222,2023-02-10,2023-01-28,1200,21,"Topanga",2144,2,627,"CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT",8,"M","H",501,"SINGLE FAMILY DWELLING","AA","Adult Arrest",627,"6500    CAPISTRANO                   AV",34.1887,-118.6178
211116024,2021-12-04,2021-12-03,1335,11,"Northeast",1162,2,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED",57,"M","B",701,"HOSPITAL","IC","Invest Cont",930,"1300 N  VERMONT                      AV",34.0956,-118.2918
230117855,2023-08-13,2023-08-13,2240,1,"Central",159,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",28,"X","X",108,"PARKING LOT","IC","Invest Cont",440,"1300    WHOLESALE                    ST",34.0367,-118.2364
241104302,2024-01-09,2024-01-09,1020,11,"Northeast",1126,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",41,"M","H",102,"SIDEWALK","AO","Adult Other",230,"5200    YORK                         BL",34.1207,-118.2026
230615234,2023-09-12,2023-09-12,2130,6,"Hollywood",663,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT",23,"F","W",102,"SIDEWALK","IC","Invest Cont",626,"1100 N  MCCADDEN                     PL",34.0907,-118.3374
201917099,2020-11-19,2020-11-19,915,19,"Mission",1935,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT",31,"F","H",101,"STREET","AO","Adult Other",626,"14800    ALEXANDER                    ST",34.2766,-118.4554
241109634,2024-07-29,2024-07-27,336,11,"Northeast",1144,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",28,"X","X",701,"HOSPITAL","IC","Invest Cont",740,"2000    HYPERION                     AV",34.0983,-118.2745
211916908,2021-12-16,2021-12-10,1000,19,"Mission",1906,1,235,"CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT",12,"M","H",501,"SINGLE FAMILY DWELLING","AO","Adult Other",235,"13500    KISMET                       AV",34.3175,-118.4271
200308963,2020-03-23,2020-03-23,2010,3,"Southwest",333,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",61,"M","H",122,"VEHICLE, PASSENGER/TRUCK","IC","Invest Cont",745,"3600    CRENSHAW                     BL",34.0278,-118.3378
210616389,2021-09-24,2021-09-23,1445,6,"Hollywood",646,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",32,"F","W",122,"VEHICLE, PASSENGER/TRUCK","IC","Invest Cont",740,"HIGHLAND",34.0997,-118.3387
241315062,2024-11-22,2024-11-21,1,13,"Newton",1321,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",54,"M","C",238,"TELECOMMUNICATION FACILITY/LOCATION","IC","Invest Cont",740,"2000 S  MAIN                         ST",34.03,-118.2654
220509706,2022-06-01,2022-04-01,900,5,"Harbor",559,1,510,"VEHICLE - STOLEN",28,"F","X",101,"STREET","IC","Invest Cont",510,"900    BARRACUDA                    ST",33.7374,-118.2635
211000870,2021-07-04,2021-07-04,2220,10,"West Valley",1003,2,753,"DISCHARGE FIREARMS/SHOTS FIRED",28,"M","W",101,"STREET","IC","Invest Cont",753,"YOLANDA                      AV",34.2102,-118.5404
240210281,2024-04-23,2024-04-23,1536,2,"Rampart",265,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",36,"F","H",744,"HIGH-RISE BUILDING","IC","Invest Cont",745,"800 S  WESTLAKE                     AV",34.0544,-118.2767
241410055,2024-05-30,2024-05-29,2000,14,"Pacific",1494,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",30,"M","W",212,"TRANSPORTATION FACILITY (AIRPORT)","IC","Invest Cont",440,"300    WORLD                        WY",33.9455,-118.4001
200706867,2020-03-02,2020-02-29,2000,7,"Wilshire",742,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",81,"M","W",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",740,"6500 W  OLYMPIC                      BL",34.0611,-118.3681
201213231,2020-05-21,2020-05-21,1300,12,"77th Street",1257,1,510,"VEHICLE - STOLEN",28,"F","X",101,"STREET","IC","Invest Cont",510,"78TH                         ST",33.9688,-118.2914
201309729,2020-04-21,2020-04-21,2005,13,"Newton",1361,1,236,"INTIMATE PARTNER - AGGRAVATED ASSAULT",63,"M","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other",236,"300 W  45TH                         ST",34.0029,-118.2783
